5,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2022 and January-March 2022"
11,"d","Arizona",34000,34000,510,2,290,80,"(Z)"
11,"d","Arkansas",21000,23000,2200,10,1200,10,"(Z)"
11,"d","California",1040000,1330000,196000,15,88000,48000,4
11,"d","Colorado",7500,10000,520,5,500,-,"(Z)"
11,"d","Connecticut",3600,4000,360,9,480,70,2
11,"d","Florida",270000,305000,34000,11,51000,18500,6
11,"d","Georgia",121000,121000,13000,11,18500,8000,7
11,"d","Idaho",165000,167000,12500,7,4000,8000,5
11,"d","",,,,,,,
11,"d","Illinois",9000,9500,1800,19,1700,320,3
11,"d","Indiana",7000,7000,1300,19,3200,40,1
11,"d","Iowa",36000,53000,1700,3,10500,240,"(Z)"
11,"d","Kansas",3300,3900,490,13,940,20,1
11,"d","Kentucky",9500,10500,1100,10,260,80,1
11,"d","Louisiana",25000,38000,4800,13,6000,3700,10
11,"d","Maine",2600,7500,290,4,190,130,2
11,"d","Maryland",6000,6000,1100,18,670,140,2
11,"d","Massachusetts",6000,8000,820,10,180,80,1
11,"d","Michigan",54000,64000,9000,14,330,2100,3
11,"d","",,,,,,,
11,"d","Minnesota",41000,52000,1100,2,4000,1600,3
11,"d","Mississippi",29000,37000,2300,6,65000,4100,11
11,"d","Missouri",6500,6500,940,14,3900,100,2
11,"d","Montana",23000,45000,70,"(Z)",6000,-,"(Z)"
11,"d","Nebraska",17000,23000,1100,5,-,-,-
11,"d","New Jersey",12500,12500,1300,10,3100,110,1
11,"d","New Mexico",8500,8500,4600,54,460,760,9
11,"d","New York",40000,40000,8000,20,560,510,1
11,"d","North Carolina",26000,30000,4100,14,2200,2800,9
11,"d","North Dakota",82000,89000,2400,3,2700,1000,1
11,"d","",,,,,,,
11,"d","Ohio",17500,19500,2500,13,1200,160,1
11,"d","Oklahoma",16500,17000,1600,9,10,-,-
11,"d","Oregon",77000,87000,8000,9,11500,500,1
11,"d","Pennsylvania",27000,28000,4800,17,1800,490,2
11,"d","South Carolina",14500,16500,1700,10,2700,800,5
11,"d","South Dakota",53000,58000,2200,4,-,-,-
11,"d","Tennessee",11000,11500,1800,16,2800,40,"(Z)"
11,"d","Texas",171000,300000,20000,7,62000,8500,3
11,"d","Utah",19000,24000,2600,11,900,360,2
11,"d","Vermont",10000,10000,400,4,30,40,"(Z)"
11,"d","",,,,,,,
11,"d","Virginia",9500,10500,1200,11,470,150,1
11,"d","Washington",65000,81000,13500,17,19000,250,"(Z)"
11,"d","West Virginia",5000,6000,600,10,40,40,1
11,"d","Wisconsin",27000,29000,3300,11,1400,270,1
11,"d","Wyoming",10500,15000,150,1,1500,-,-
11,"d","",,,,,,,
11,"d","Other States 5/",27750,31650,730,2,1580,470,1
11,"d","",,,,,,,
11,"d","United States",2678250,"(X)",373880,14,384790,113440,4
11,"c",""
11,"f","-  Represents zero."
11,"f","(X)  Not applicable."
11,"f","(Z)  Less than half of the unit shown."
11,"f","1/ January 1 colonies plus all colonies moved into that state during the quarter."
11,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the January 1 colonies."
11,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
11,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the January 1 colonies."
11,"f","5/ Includes data for States not published in this table."
22,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
22,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2023 and April-June 2023"
22,"h","","","","","","","",""
22,"h","","","April-June","April-June","April-June","April-June","April-June","April-June"
22,"h","State","April 1","","","","","",""
22,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
22,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
22,"h","","","","","","","",""
22,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
22,"d","Alabama",14500,15500,2000,13,4200,3800,25
22,"d","Arizona",34000,34000,8500,25,4900,2400,7
22,"d","Arkansas",22000,24000,1900,8,6000,2200,9
22,"d","California",900000,930000,52000,6,131000,112000,12
22,"d","Colorado",10000,33000,1100,3,4500,1500,5
22,"d","Connecticut",4200,4200,230,5,690,800,19
22,"d","Florida",260000,295000,40000,14,56000,23000,8
22,"d","Georgia",128000,131000,21000,16,25000,42000,32
22,"d","Idaho",82000,132000,7000,5,22000,11000,8
22,"d","",,,,,,,
22,"d","Illinois",9500,9500,530,6,3300,700,7
22,"d","Indiana",9000,9500,320,3,4100,1500,16
22,"d","Iowa",63000,69000,4600,7,11500,2700,4
22,"d","Kansas",2600,3500,340,10,1500,360,10
22,"d","Kentucky",8500,9000,550,6,960,450,5
22,"d","Louisiana",39000,39000,2800,7,4700,9000,23
22,"d","Maine",7500,15500,1000,6,510,1100,7
22,"d","Maryland",5500,9000,580,6,690,730,8
22,"d","Massachusetts",7500,10500,1500,14,1300,510,5
22,"d","Michigan",46000,72000,4200,6,9000,2300,3
22,"d","",,,,,,,
22,"d","Minnesota",56000,76000,2600,3,7500,1700,2
22,"d","Mississippi",73000,74000,3200,4,12500,8000,11
22,"d","Missouri",9500,9500,390,4,4600,910,10
22,"d","Montana",51000,97000,4500,5,22000,18500,19
22,"d","Nebraska",11000,28000,1200,4,10000,1900,7
22,"d","New Jersey",14000,16500,720,4,1000,520,3
22,"d","New Mexico",4300,4300,230,5,530,250,6
22,"d","New York",31000,52000,1800,3,6500,2100,4
22,"d","North Carolina",28000,28000,2300,8,9000,5500,20
22,"d","North Dakota",62000,395000,7000,2,33000,4100,1
22,"d","",,,,,,,
22,"d","Ohio",18500,18500,1300,7,8500,5000,27
22,"d","Oklahoma",10000,13000,320,2,6000,2900,22
22,"d","Oregon",91000,95000,17500,18,29000,31000,33
22,"d","Pennsylvania",25000,29000,1700,6,8000,2200,8
22,"d","South Carolina",17500,17500,1000,6,2300,2600,15
22,"d","South Dakota",13000,137000,2500,2,8500,25000,18
22,"d","Tennessee",12500,13500,920,7,3800,2600,19
22,"d","Texas",340000,370000,16000,4,85000,118000,32
22,"d","Utah",15500,18500,3700,20,9500,2500,14
22,"d","Vermont",9500,9500,160,2,990,210,2
22,"d","",,,,,,,
22,"d","Virginia",9000,10500,670,6,3800,1300,12
22,"d","Washington",87000,123000,14000,11,18500,15500,13
22,"d","West Virginia",5500,6500,350,5,1400,1000,15
22,"d","Wisconsin",15500,52000,570,1,4900,1300,3
22,"d","Wyoming",16500,19000,1400,7,5000,2200,12
22,"d","",,,,,,,
22,"d","Other States 5/",31470,32320,1170,4,2690,3600,11
22,"d","",,,,,,,
22,"d","United States",2710070,"(X)",237350,9,596360,478440,18
22,"c",""
22,"f","(X)  Not applicable."
22,"f","1/ April 1 number of colonies plus all colonies moved into that state during the quarter."
22,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 number of colonies."
22,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
22,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 number of colonies."
22,"f","5/ Includes data for States not published in this table."
2,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
2,"t","Colony Health Stressors with Five or More Colonies – States and United States: January-March 2022"
2,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
2,"h","","","","","","",""
2,"h","","Varroa","Other pests","","","",""
2,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
2,"h","","","","","","",""
2,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
2,"d","Alabama",36.9,17.0,-,3.7,10.8,5.3
2,"d","Arizona",14.8,-,3.0,"(Z)","(Z)",0.5
2,"d","Arkansas",39.8,28.1,"(Z)",23.1,1.3,8.9
2,"d","California",29.7,7.2,3.3,5.3,3.9,4.2
2,"d","Colorado",13.5,-,3.8,0.6,3.4,2.6
2,"d","Connecticut",10.2,2.3,1.4,"(Z)",3.5,1.2
2,"d","Florida",39.0,13.1,3.7,9.8,6.4,8.2
2,"d","Georgia",41.2,17.4,0.6,5.1,5.9,3.0
2,"d","Idaho",57.0,1.1,"(Z)",35.5,1.4,1.3
2,"d","",,,,,,
2,"d","Illinois",20.1,6.9,2.0,4.3,5.4,10.6
2,"d","Indiana",28.5,11.5,1.7,3.6,9.7,5.9
2,"d","Iowa",29.7,13.0,0.7,0.9,1.6,5.1
2,"d","Kansas",37.8,21.8,3.7,1.7,4.2,5.1
2,"d","Kentucky",15.6,3.9,3.0,2.8,5.6,11.0
2,"d","Louisiana",61.1,48.1,-,-,0.6,7.6
2,"d","Maine",7.3,1.2,-,-,7.0,1.2
2,"d","Maryland",23.7,7.4,0.6,2.3,12.1,13.6
2,"d","Massachusetts",13.4,2.9,0.7,-,1.6,2.7
2,"d","Michigan",6.1,1.9,1.9,1.4,4.2,"(Z)"
2,"d","",,,,,,
2,"d","Minnesota",1.1,-,-,"(Z)","(Z)",1.0
2,"d","Mississippi",53.1,12.5,6.1,2.0,1.8,8.9
2,"d","Missouri",11.1,8.6,"(Z)",0.5,5.3,5.2
2,"d","Montana",0.5,-,-,-,"(Z)","(Z)"
2,"d","Nebraska",3.2,-,0.7,-,"(Z)",2.3
2,"d","New Jersey",13.3,3.9,"(Z)",-,0.6,1.8
2,"d","New Mexico",48.7,"(Z)","(Z)",-,0.5,"(Z)"
2,"d","New York",16.6,4.1,"(Z)",3.1,7.7,6.6
2,"d","North Carolina",23.4,7.6,"(Z)",-,2.4,1.0
2,"d","North Dakota",33.1,-,-,-,-,"(Z)"
2,"d","",,,,,,
2,"d","Ohio",18.0,4.8,0.7,1.7,2.2,7.2
2,"d","Oklahoma",18.8,"(Z)",-,-,-,"(Z)"
2,"d","Oregon",11.4,-,-,1.4,"(Z)",1.1
2,"d","Pennsylvania",14.6,3.9,"(Z)",0.6,3.1,3.0
2,"d","South Carolina",38.0,3.8,-,"(Z)",4.5,3.1
2,"d","South Dakota",4.2,3.4,-,"(Z)",1.8,"(Z)"
2,"d","Tennessee",12.9,5.1,1.0,"(Z)",3.3,3.0
2,"d","Texas",21.2,2.1,0.6,3.6,6.0,1.5
2,"d","Utah",22.2,1.5,3.0,-,"(Z)",0.5
2,"d","Vermont",15.2,1.9,1.3,4.0,2.7,0.5
2,"d","",,,,,,
2,"d","Virginia",25.7,13.9,2.5,"(Z)",12.0,7.8
2,"d","Washington",8.3,4.0,3.6,-,2.6,"(Z)"
